row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
198470,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,716,Hospital Inpatient,"16,716","1,171","7,599","$12,576,417.15","$10,739.90","$6,167.05","$12,519,619.95","$10,691.39","$6,127.78","$56,797.20",$48.50,$0.00
199334,2019,007,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,81,Hospital Outpatient,"2,846",780,896,"$46,776.81",$59.97,$23.35,"$46,770.81",$59.96,$23.35,$6.00,$0.01,$0.00
200414,2019,013,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,23,Independent Lab,105,65,276,$904.98,$13.92,$0.00,$904.98,$13.92,$0.00,$0.00,$0.00,$0.00
201134,2019,017,Carlton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,321,Emergency department,"2,730",819,"3,691","$240,809.61",$294.03,$209.69,"$238,350.29",$291.03,$204.80,"$2,459.32",$3.00,$0.00
201854,2019,021,Cass,COMMERCIAL,4,65 - 74 years,M,75,Clinic/Office,"1,148",546,891,"$67,406.46",$123.46,$75.44,"$53,118.94",$97.29,$37.35,"$14,287.52",$26.17,$0.00
202766,2019,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,28,Inpatient Non-acute Professional Services,285,228,283,"$6,103.23",$26.77,$0.00,"$6,100.03",$26.75,$0.00,$3.20,$0.01,$0.00
203726,2019,031,Cook,COMMERCIAL,4,65 - 74 years,M,11,Hospital Outpatient,156,41,132,"$15,124.70",$368.90,$98.74,"$12,323.19",$300.57,$17.92,"$2,801.51",$68.33,$0.00
204638,2019,035,Crow Wing,MEDICARE,3,45 - 64 years,M,44,Inpatient Non-acute Professional Services,383,234,504,"$29,161.18",$124.62,$77.00,"$22,860.19",$97.69,$60.52,"$6,300.99",$26.93,$15.44
205286,2019,039,Dodge,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,25,DME (Durable Medical Equipment),163,98,280,"$7,622.06",$77.78,$85.13,"$7,622.06",$77.78,$85.13,$0.00,$0.00,$0.00
206030,2019,043,Faribault,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,54,Ambulance,797,473,615,"$88,336.71",$186.76,$14.08,"$88,333.51",$186.75,$14.08,$3.20,$0.01,$0.00
207254,2019,049,Goodhue,MEDICARE,3,45 - 64 years,M,98,Hospital Inpatient,"3,916",236,"1,117","$3,742,625.27","$15,858.58","$12,593.71","$3,492,547.67","$14,798.93","$11,036.31","$250,077.60","$1,059.65","$1,364.00"
208022,2019,053,Hennepin,MEDICARE,3,45 - 64 years,F,115,Hospice,"7,556",814,904,"$1,378,098.59","$1,693.00",$0.00,"$1,378,098.59","$1,693.00",$0.00,$0.00,$0.00,$0.00
208814,2019,057,Hubbard,MEDICARE,5,75 years and older,M,44,Hospice,"1,913",139,363,"$388,989.12","$2,798.48","$3,286.19","$388,989.12","$2,798.48","$3,286.19",$0.00,$0.00,$0.00
209510,2019,061,Itasca,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,14,Hospital Inpatient Professional Services,401,182,138,"$1,089.39",$5.99,$0.00,"$1,089.39",$5.99,$0.00,$0.00,$0.00,$0.00
210494,2019,067,Kandiyohi,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,134,DME (Durable Medical Equipment),825,491,"1,561","$73,958.88",$150.63,$41.54,"$73,917.90",$150.55,$41.54,$40.98,$0.08,$0.00
211406,2019,073,Lac Qui Parle,COMMERCIAL,3,45 - 64 years,M,194,Clinic/Office,"2,030","1,116","2,261","$201,580.05",$180.63,$125.46,"$107,491.74",$96.32,$32.29,"$94,088.31",$84.31,$35.02
212630,2019,079,Le Sueur,MEDICARE,4,65 - 74 years,M,128,DME (Durable Medical Equipment),"1,076",676,"1,492","$77,119.28",$114.08,$54.24,"$65,075.44",$96.27,$47.02,"$12,043.84",$17.82,$9.11
213710,2019,085,McLeod,MEDICARE,5,75 years and older,F,100,Hospice,"7,651",343,842,"$1,248,393.25","$3,639.63","$4,222.82","$1,248,393.25","$3,639.63","$4,222.82",$0.00,$0.00,$0.00
214670,2019,091,Martin,MEDICARE,5,75 years and older,F,521,Emergency department,"4,649","1,269","6,004","$403,374.47",$317.87,$187.36,"$348,827.52",$274.88,$147.58,"$54,546.95",$42.98,$32.73
215510,2019,097,Morrison,COMMERCIAL,2,19 - 44 years,M,28,Hospital Inpatient Professional Services,394,111,318,"$151,579.43","$1,365.58",$526.57,"$142,566.14","$1,284.38",$445.71,"$9,013.29",$81.20,$0.00
216254,2019,101,Murray,COMMERCIAL,2,19 - 44 years,F,72,Independent Lab,391,117,800,"$24,429.77",$208.80,$124.54,"$18,902.05",$161.56,$80.30,"$5,527.72",$47.25,$0.00
217334,2019,107,Norman,COMMERCIAL,3,45 - 64 years,M,18,Emergency department,108,35,213,"$24,974.94",$713.57,$611.53,"$19,054.92",$544.43,$396.69,"$5,920.02",$169.14,$0.00
