YEAR,RECORD_TYPE, NUMBER_SCRIPTS ,NPROPNAME,THER_CLASS,PAYER, UNIQUE_MEMBERS ,TOTAL_COST,COST_PER_USER,COST_PER_SCRIPT,COST_PER_DAYS_SUPPLY,COST_PER_UNIT_DISPENSED, TOTAL_SCRIPTS_FILLED ,YEARLY_PCT_CHANGE_COST_PER_SCRIPT, TOTAL_COST_RANK , COST_PER_USER_RANK , COST_PER_SCRIPT_RANK , COST_PER_DAYS_SUPPLY_RANK , COST_PER_UNIT_DISPENSED_RANK , TOTAL_SCRIPTS_FILLED_RANK , YEARLY_PCT_CHANGE_COST_PER_SCRIPT_RANK , DAYS_SUPPLY_MEDIAN , DAYS_SUPPLY_MEAN , DAYS_SUPPLY_STDDEV , QUANTITY_MEDIAN , QUANTITY_MEAN , QUANTITY_STDDEV ,INSURER_PAID_MEDIAN,INSURER_PAID_MEAN,INSURER_PAID_STDDEV,INSURER_PAID_SUM,MEMBER_PAID_MEDIAN,MEMBER_PAID_MEAN,MEMBER_PAID_STDDEV,MEMBER_PAID_SUM,TOTAL_PAID_MEDIAN,TOTAL_PAID_MEAN,TOTAL_PAID_STDDEV,TOTAL_PAID_SUM,PCT_TOTAL_PHARM_SPENDING,PCT_SCRIPTS_0_18,PCT_SCRIPTS_19_44,PCT_SCRIPTS_45_64,PCT_SCRIPTS_65_PLUS,PCT_SCRIPTS_FEMALE,PCT_SCRIPTS_MALE,PCT_URBAN_CORE,PCT_SUBURBAN,PCT_MICROPOLITAN,PCT_RURAL_SMALLTOWN
2018,Drug, 58 ,ABACAVIR SULFATE,Anti-Infective Agents,Commercial, 16 ,"$19,320.62","$1,207.54",$333.11,$11.01,$4.73, 58 ,13.5%," 1,056 ", 354 , 413 , 436 , 556 ," 1,226 ", 232 , 30.0 , 30.3 , 8.6 , 60.0 , 70.4 , 27.2 ,$280.86,$302.96,$121.72,"$17,571.52",$0.00,$4.90,$6.84,$284.00,$285.22,$333.11,$165.71,"$19,320.62",0.0003%,,,,,36.2%,63.8%,,,,
2018,Drug, 409 ,ABACAVIR SULFATE,Anti-Infective Agents,Medicare, 55 ,"$135,669.89","$2,466.73",$331.71,$9.82,$4.78, 409 ,-9.4%, 683 , 246 , 362 , 408 , 496 , 830 , 979 , 30.0 , 33.8 , 14.8 , 60.0 , 69.4 , 31.0 ,$307.25,$312.48,$189.39,"$127,806.25",$0.00,$14.00,$42.87,"$5,725.96",$307.25,$331.71,$201.19,"$135,669.89",0.0025%,0.0%,3.7%,60.6%,35.7%,24.2%,75.8%,81.7%,4.6%,7.6%,6.1%
2018,Drug, 261 ,ABACAVIR SULFATE,Anti-Infective Agents,Minnesota Health Care Programs, 46 ,"$44,818.60",$974.32,$171.72,$5.82,$3.13, 261 ,-11.9%, 739 , 272 , 381 , 456 , 486 , 851 , 963 , 30.0 , 29.5 , 2.7 , 60.0 , 54.9 , 10.9 ,$123.36,$139.07,$103.41,"$36,296.96",$0.00,$2.82,$12.58,$736.15,$124.28,$171.72,$92.51,"$44,818.60",0.0008%,,,,,36.8%,63.2%,78.2%,4.6%,6.9%,10.3%
2018,Drug, 108 ,"ABACAVIR SULFATE,LAMIVUDINE",Anti-Infective Agents,Commercial, 29 ,"$45,756.50","$1,577.81",$423.67,$11.58,$11.84, 108 ,-31.9%, 922 , 313 , 351 , 427 , 375 ," 1,119 "," 1,279 ", 30.0 , 36.6 , 19.3 , 30.0 , 35.8 , 20.5 ,$262.14,$388.64,$419.03,"$41,973.17",$10.00,$25.02,$64.05,"$2,702.09",$269.12,$423.67,$416.92,"$45,756.50",0.0008%,10.2%,26.9%,46.3%,16.7%,25.9%,74.1%,88.0%,0.0%,0.0%,12.0%
2018,Drug, 531 ,"ABACAVIR SULFATE,LAMIVUDINE",Anti-Infective Agents,Medicare, 73 ,"$187,393.98","$2,567.04",$352.91,$11.58,$11.51, 531 ,-56.4%, 634 , 241 , 354 , 381 , 354 , 773 ," 1,200 ", 30.0 , 30.5 , 8.0 , 30.0 , 30.7 , 8.9 ,$283.68,$329.32,$263.98,"$174,869.65",$0.00,$19.90,$72.14,"$10,567.25",$284.93,$352.91,$286.78,"$187,393.98",0.0034%,0.0%,11.7%,62.0%,26.4%,19.8%,80.2%,,,,
2018,Drug, 671 ,"ABACAVIR SULFATE,LAMIVUDINE",Anti-Infective Agents,Minnesota Health Care Programs, 111 ,"$311,416.34","$2,805.55",$464.11,$15.85,$16.42, 671 ,-37.7%, 367 , 152 , 197 , 262 , 248 , 681 ," 1,128 ", 30.0 , 29.3 , 3.6 , 30.0 , 28.3 , 5.1 ,$184.80,$397.97,$408.53,"$267,034.67",$0.00,$34.05,$175.64,"$22,845.88",$204.02,$464.11,$419.98,"$311,416.34",0.0056%,13.0%,21.9%,58.3%,6.9%,34.0%,66.0%,87.3%,3.1%,3.4%,6.1%
2018,Drug," 2,767 ","ABACAVIR,DOLUTEGRAVIR,LAMIVUDINE",Anti-Infective Agents,Commercial, 391 ,"$9,668,846.18","$24,728.51","$3,494.34",$95.05,$93.79," 2,767 ",8.7%, 51 , 83 , 101 , 130 , 148 , 461 , 340 , 30.0 , 36.8 , 19.0 , 30.0 , 37.3 , 19.9 ,"$2,806.70","$3,232.66","$1,775.44","$8,944,758.61",$40.00,$239.06,$624.65,"$661,477.57","$2,842.38","$3,494.34","$1,766.32","$9,668,846.18",0.1748%,3.6%,42.5%,51.1%,2.8%,18.5%,81.5%,91.7%,3.1%,3.4%,1.8%
2018,Drug," 2,488 ","ABACAVIR,DOLUTEGRAVIR,LAMIVUDINE",Anti-Infective Agents,Medicare, 276 ,"$7,295,120.38","$26,431.60","$2,932.12",$95.34,$94.00," 2,488 ",2.8%, 64 , 78 , 94 , 108 , 126 , 502 , 482 , 30.0 , 30.8 , 7.4 , 30.0 , 31.2 , 8.2 ,"$2,832.76","$2,796.33",$795.64,"$6,957,261.30",$0.00,$110.84,$262.75,"$275,778.50","$2,893.18","$2,932.12",$804.60,"$7,295,120.38",0.1318%,0.0%,10.1%,61.3%,28.6%,22.5%,77.5%,82.8%,4.9%,6.1%,6.1%
2018,Drug," 5,377 ","ABACAVIR,DOLUTEGRAVIR,LAMIVUDINE",Anti-Infective Agents,Minnesota Health Care Programs, 697 ,"$14,496,021.08","$20,797.73","$2,695.93",$91.06,$91.05," 5,377 ",8.8%, 14 , 53 , 69 , 84 , 101 , 326 , 286 , 30.0 , 29.6 , 3.1 , 30.0 , 29.6 , 3.1 ,"$2,786.16","$2,319.89",$987.83,"$12,474,029.00",$0.00,$7.49,$20.30,"$40,298.83","$2,834.95","$2,695.93",$500.22,"$14,496,021.08",0.2620%,3.6%,50.9%,42.0%,3.5%,32.7%,67.3%,89.3%,2.2%,6.7%,1.8%
2018,Drug, 527 ,ABALOPARATIDE,Endocrine and Metabolic Drugs,Commercial, 105 ,"$940,923.73","$8,961.18","$1,785.43",$55.88,"$1,031.71", 527 ,-1.2%, 318 , 124 , 139 , 164 , 33 , 781 , 731 , 30.0 , 32.0 , 10.6 , 1.6 , 1.7 , 0.6 ,"$1,625.90","$1,611.87",$696.11,"$849,457.08",$16.66,$173.56,$381.41,"$91,466.65","$1,743.02","$1,785.43",$622.75,"$940,923.73",0.0170%,,,,,,,,,,
