row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
166071,2018,003,Anoka,COMMERCIAL,4,65 - 74 years,M,75,DME (Durable Medical Equipment),482,246,873,"$57,703.48",$234.57,$81.85,"$49,372.77",$200.70,$68.25,"$8,330.71",$33.86,$0.00
166767,2018,005,Becker,MEDICARE,4,65 - 74 years,M,257,Hospital Inpatient Professional Services,"4,382","1,567","2,947","$505,906.55",$322.85,$132.75,"$466,202.04",$297.51,$112.82,"$39,704.51",$25.34,$0.00
167679,2018,011,Big Stone,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,19,Hospital Inpatient,219,26,176,"$100,055.19","$3,848.28","$2,437.58","$100,055.19","$3,848.28","$2,437.58",$0.00,$0.00,$0.00
168663,2018,015,Brown,MEDICARE,5,75 years and older,M,42,Ambulatory Surgery,231,56,504,"$81,058.99","$1,447.48",$831.99,"$71,265.47","$1,272.60",$730.19,"$9,793.52",$174.88,$40.73
169455,2018,019,Carver,MEDICARE,4,65 - 74 years,M,324,Hospital Inpatient,"8,299",581,"3,795","$6,569,870.01","$11,307.87","$12,025.22","$6,138,068.18","$10,564.66","$11,031.37","$431,801.83",$743.20,"$1,340.00"
170271,2018,025,Chisago,COMMERCIAL,1,18 years and under,M,140,Hospital Inpatient Professional Services,772,459,"1,187","$228,425.94",$497.66,$218.11,"$197,162.86",$429.55,$179.16,"$31,263.08",$68.11,$0.00
171039,2018,027,Clay,MEDICARE,5,75 years and older,F,544,Hospital Inpatient Professional Services,"7,847","3,451","6,039","$889,897.15",$257.87,$129.05,"$805,447.43",$233.40,$112.53,"$84,449.72",$24.47,$0.00
171855,2018,033,Cottonwood,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,35,Hospital Inpatient,688,55,390,"$532,202.53","$9,676.41","$4,314.83","$531,421.03","$9,662.20","$4,314.83",$781.50,$14.21,$0.00
172671,2018,037,Dakota,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,"1,127",Ambulance,"35,328","10,055","12,258","$1,354,208.85",$134.68,$65.60,"$1,353,785.10",$134.64,$65.60,$423.75,$0.04,$0.00
173463,2018,041,Douglas,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,32,DME (Durable Medical Equipment),222,117,368,"$33,547.19",$286.73,$43.95,"$33,537.74",$286.65,$43.95,$9.45,$0.08,$0.00
174399,2018,045,Fillmore,MEDICARE,5,75 years and older,M,182,Ambulance,763,306,"1,933","$165,489.43",$540.82,$664.76,"$140,447.91",$458.98,$496.19,"$25,041.52",$81.84,$77.97
